Vote,Result,Question,Issue,Date
1 (100-0),Confirmed,"On the Nomination: Confirmation: Mitchell E. Daniels, to be Director of the O.M.B.",PN101,Jan 23
2 (100-0),Confirmed,On the Nomination: Nomination: Anthony Joseph Principi to be Secretary of Veterans Affairs,PN102,Jan 23
3 (100-0),Confirmed,"On the Nomination: Nomination: Melquiades Rafael Martinez, to be Secretary of H.U.D.",PN93,Jan 23
4 (100-0),Confirmed,On the Nomination: Confirmation: Tommy G. Thompson to be Secretary of Health And Human Services,PN98,Jan 24
5 (100-0),Confirmed,On the Nomination: Confirmation: Norman Y. Mineta to be Secretary of Transportation,PN104,Jan 24
6 (75-24),Confirmed,On the Nomination: Confirmation: Gale Ann Norton to be Secretary of the Interior,PN96,Jan 30
7 (99-0),Confirmed,"On the Nomination: Nomination: Christine Todd Whitman, to be Administrator, E.P.A. ",PN97,Jan 30
8 (58-42),Confirmed,"On the Nomination: Confirmation: John Ashcroft, of Missouri, to be Attorney General",PN107,Feb 01
9 (98-0),Confirmed,"On the Nomination: Confirmation: Robert B. Zoellick, to be U.S. Trade Representative",PN105,Feb 06
10 (99-0),Passed,"On Passage of the Bill: S.248; A bill to amend the Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001, to adjust a condition on the payment of arrearages to the United Nations that sets the maximum share of any United Nations peacekeeping operation's budget that may be assessed of any  country.",S. 248,Feb 07
11 (98-0),Passed,"On Passage of the Bill: S.235; A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",S. 235,Feb 08
12 (98-0),Passed,"On Passage of the Bill: S. 320; A bill to make technical corrections in patent, copyright, and trademark laws.",S. 320,Feb 14
13 (91-0),Confirmed,"On the Nomination: Confirmation: Joe M. Allbaugh, of Texas, to be Director of FEMA",PN111,Feb 15
14 (94-0),Confirmed,On the Nomination: Confirmation: John M. Duncan to be Deputy Undersecretary of the Treasury,PN168,Feb 28
15 (56-44),Passed,"On the Joint Resolution: S.J.Res. 6; A joint resolution providing for congressional disapproval of the rule submitted by the Department of Labor under chapter 8 of title 5, United States Code, relating to ergonomics.",S.J.Res. 6,Mar 06
16 (34-65),Rejected,On the Amendment S.Amdt. 14: Wellstone Amdt. No. 14; To create an exemption for certain debtors that can demonstrate to the satisfaction of the court that the reason for the filing was a result of debts incurred through medical expenses.,S. 420,Mar 07
17 (58-41),Agreed to,On the Motion to Table S.Amdt. 13: Motion to Table Leahy Amendment No. 13; To provide small business creditors priority over larger businesses relating to distribution of the bankruptcy estate.,S. 420,Mar 07
18 (50-49),Agreed to,"On the Motion to Table S.Amdt. 17: Motion to Table Durbin Amdt. No. 17, as modified; To make an amendment with respect to predatory lending practices, and for other purposes.",S. 420,Mar 08
19 (55-41),Agreed to,"On the Motion to Table S.Amdt. 26: Motion to Table Kerry Amdt. No. 26; To strike certain provisions relating to small businesses, and for other purposes,",S. 420,Mar 08
